'256, SCC 256', 'mrtc', 'compress', 8132, 7314
'512, SCC 512', 'mrtc', 'compress', 8118, 7314
'1024, SCC 1024', 'mrtc', 'compress', 8041, 7314
'32, SCC 32', 'mrtc', 'cover', 2137, 1816
'128, SCC 128', 'mrtc', 'cover', 2136, 1816
'192, SCC 192', 'mrtc', 'cover', 2076, 1816
'256, SCC 256', 'mrtc', 'cover', 2035, 1816
'512, SCC 512', 'mrtc', 'cover', 1952, 1816
'1024, SCC 1024', 'mrtc', 'cover', 1875, 1816
'32, SCC 32', 'mrtc', 'crc', 15706, 15468
'128, SCC 128', 'mrtc', 'crc', 15710, 15468
'192, SCC 192', 'mrtc', 'crc', 15623, 15468
'256, SCC 256', 'mrtc', 'crc', 15632, 15468
'512, SCC 512', 'mrtc', 'crc', 15597, 15468
'1024, SCC 1024', 'mrtc', 'crc', 15499, 15468
'32, SCC 32', 'mrtc', 'duff', 1430, 1249
'128, SCC 128', 'mrtc', 'duff', 1429, 1249
'192, SCC 192', 'mrtc', 'duff', 1362, 1249
'256, SCC 256', 'mrtc', 'duff', 1371, 1249
'512, SCC 512', 'mrtc', 'duff', 1357, 1249
'1024, SCC 1024', 'mrtc', 'duff', 1287, 1249
'32, SCC 32', 'mrtc', 'edn', 49860, 49161
'128, SCC 128', 'mrtc', 'edn', 49864, 49161
'192, SCC 192', 'mrtc', 'edn', 49804, 49161
'256, SCC 256', 'mrtc', 'edn', 49747, 49161
'512, SCC 512', 'mrtc', 'edn', 49733, 49161
'1024, SCC 1024', 'mrtc', 'edn', 49666, 49161
'32, SCC 32', 'mrtc', 'expint', 78166, 77678
'128, SCC 128', 'mrtc', 'expint', 78165, 77678
'192, SCC 192', 'mrtc', 'expint', 78105, 77678
'256, SCC 256', 'mrtc', 'expint', 77800, 77678
'512, SCC 512', 'mrtc', 'expint', 77786, 77678
'1024, SCC 1024', 'mrtc', 'expint', 77716, 77678
'32, SCC 32', 'mrtc', 'fac', 915, 734
'128, SCC 128', 'mrtc', 'fac', 914, 734
'192, SCC 192', 'mrtc', 'fac', 847, 734
'256, SCC 256', 'mrtc', 'fac', 856, 734
'512, SCC 512', 'mrtc', 'fac', 842, 734
'1024, SCC 1024', 'mrtc', 'fac', 772, 734
'32, SCC 32', 'mrtc', 'fdct', 3356, 3182
'128, SCC 128', 'mrtc', 'fdct', 3369, 3182
