'32, SCC 32', 'mrtc', 'ndes', 34599, 33550
'128, SCC 128', 'mrtc', 'ndes', 34568, 33550
'192, SCC 192', 'mrtc', 'ndes', 34577, 33550
'256, SCC 256', 'mrtc', 'ndes', 34479, 33550
'512, SCC 512', 'mrtc', 'ndes', 34219, 33550
'1024, SCC 1024', 'mrtc', 'ndes', 34158, 33550
'32, SCC 32', 'mrtc', 'nsichneu', 37267, 16569
'128, SCC 128', 'mrtc', 'nsichneu', 21128, 16569
'192, SCC 192', 'mrtc', 'nsichneu', 21149, 16569
'256, SCC 256', 'mrtc', 'nsichneu', 16424, 16569
'512, SCC 512', 'mrtc', 'nsichneu', 18972, 16569
'1024, SCC 1024', 'mrtc', 'nsichneu', 16669, 16569
'32, SCC 32', 'mrtc', 'ns', 12988, 9686
'128, SCC 128', 'mrtc', 'ns', 12984, 9686
'192, SCC 192', 'mrtc', 'ns', 12951, 9686
'256, SCC 256', 'mrtc', 'ns', 9795, 9686
'512, SCC 512', 'mrtc', 'ns', 9778, 9686
'1024, SCC 1024', 'mrtc', 'ns', 9719, 9686
'32, SCC 32', 'mrtc', 'exam', 7109, 5022
'128, SCC 128', 'mrtc', 'exam', 6295, 5022
'192, SCC 192', 'mrtc', 'exam', 5426, 5022
'256, SCC 256', 'mrtc', 'exam', 5432, 5022
'512, SCC 512', 'mrtc', 'exam', 5412, 5022
'1024, SCC 1024', 'mrtc', 'exam', 5064, 5022
'32, SCC 32', 'mrtc', 'qurt', 30182, 25066
'128, SCC 128', 'mrtc', 'qurt', 27790, 25066
'192, SCC 192', 'mrtc', 'qurt', 27407, 25066
'256, SCC 256', 'mrtc', 'qurt', 26500, 25066
'512, SCC 512', 'mrtc', 'qurt', 25913, 25066
'1024, SCC 1024', 'mrtc', 'qurt', 25976, 25066
'32, SCC 32', 'mrtc', 'recursion', 3933, 3171
'128, SCC 128', 'mrtc', 'recursion', 3904, 3171
'192, SCC 192', 'mrtc', 'recursion', 3287, 3171
'256, SCC 256', 'mrtc', 'recursion', 3280, 3171
'512, SCC 512', 'mrtc', 'recursion', 3263, 3171
'1024, SCC 1024', 'mrtc', 'recursion', 3211, 3171
'32, SCC 32', 'mrtc', 'select', 7239, 5398
'128, SCC 128', 'mrtc', 'select', 6467, 5398
'192, SCC 192', 'mrtc', 'select', 5703, 5398
'256, SCC 256', 'mrtc', 'select', 5700, 5398
'512, SCC 512', 'mrtc', 'select', 5689, 5398
'1024, SCC 1024', 'mrtc', 'select', 5444, 5398
'32, SCC 32', 'mrtc', 'sqrt', 702, 546
'128, SCC 128', 'mrtc', 'sqrt', 698, 546
'192, SCC 192', 'mrtc', 'sqrt', 658, 546
'256, SCC 256', 'mrtc', 'sqrt', 658, 546
'512, SCC 512', 'mrtc', 'sqrt', 644, 546
'1024, SCC 1024', 'mrtc', 'sqrt', 589, 546
'32, SCC 32', 'mrtc', 'statemate', 624, 624
'128, SCC 128', 'mrtc', 'statemate', 624, 624
'192, SCC 192', 'mrtc', 'statemate', 624, 624
'256, SCC 256', 'mrtc', 'statemate', 624, 624
'512, SCC 512', 'mrtc', 'statemate', 624, 624
'1024, SCC 1024', 'mrtc', 'statemate', 624, 624
'32, SCC 32', 'mrtc', 'ud', 14315, 13654
'128, SCC 128', 'mrtc', 'ud', 14100, 13654
'192, SCC 192', 'mrtc', 'ud', 13990, 13654
'256, SCC 256', 'mrtc', 'ud', 14040, 13654
'512, SCC 512', 'mrtc', 'ud', 14026, 13654
'1024, SCC 1024', 'mrtc', 'ud', 14021, 13654
'128, SCC 2048', 'coremark', 'coremark', 6764999, 5977098
'256, SCC 2048', 'coremark', 'coremark', 6726264, 5977098
'512, SCC 2048', 'coremark', 'coremark', 6724056, 5977098
'128, SCC 2048', 'mibench', 'basicmath_tiny', 24741341, 21990390
'256, SCC 2048', 'mibench', 'basicmath_tiny', 23883454, 21990390
'512, SCC 2048', 'mibench', 'basicmath_tiny', 23159780, 21990390
'128, SCC 2048', 'mibench', 'bitcnts', 50936661, 50939444
'256, SCC 2048', 'mibench', 'bitcnts', 50936070, 50939444
'512, SCC 2048', 'mibench', 'bitcnts', 50935869, 50939444
'128, SCC 2048', 'mibench', 'cjpeg_small', 61719278, 57842039
'256, SCC 2048', 'mibench', 'cjpeg_small', 61265694, 57842039
'512, SCC 2048', 'mibench', 'cjpeg_small', 59724474, 57842039
'128, SCC 2048', 'mibench', 'crc_32', 24495305, 21743560
'256, SCC 2048', 'mibench', 'crc_32', 24833743, 21743560
'512, SCC 2048', 'mibench', 'crc_32', 22774112, 21743560
'128, SCC 2048', 'mibench', 'csusan_small', 2522708, 2237760
'256, SCC 2048', 'mibench', 'csusan_small', 2406213, 2237760
'512, SCC 2048', 'mibench', 'csusan_small', 2325926, 2237760
'128, SCC 2048', 'mibench', 'dbf', 87379226, 82674035
'256, SCC 2048', 'mibench', 'dbf', 86953268, 82674035
'512, SCC 2048', 'mibench', 'dbf', 85077596, 82674035
'128, SCC 2048', 'mibench', 'dijkstra_small', 86644163, 80387806
'256, SCC 2048', 'mibench', 'dijkstra_small', 86320449, 80387806
'512, SCC 2048', 'mibench', 'dijkstra_small', 85955188, 80387806
'128, SCC 2048', 'mibench', 'djpeg_small', 16243389, 15796083
'256, SCC 2048', 'mibench', 'djpeg_small', 16197507, 15796083
'512, SCC 2048', 'mibench', 'djpeg_small', 16158597, 15796083
'128, SCC 2048', 'mibench', 'drijndael', 68820612, 64740176
'256, SCC 2048', 'mibench', 'drijndael', 67955518, 64740176
'512, SCC 2048', 'mibench', 'drijndael', 65985782, 64740176
'128, SCC 2048', 'mibench', 'ebf', 87729592, 82954024
'256, SCC 2048', 'mibench', 'ebf', 87259892, 82954024
'512, SCC 2048', 'mibench', 'ebf', 85378558, 82954024
'128, SCC 2048', 'mibench', 'erijndael', 74629141, 70705505
'256, SCC 2048', 'mibench', 'erijndael', 73913556, 70705505
'512, SCC 2048', 'mibench', 'erijndael', 71879795, 70705505
'128, SCC 2048', 'mibench', 'esusan_small', 4509216, 4182980
'256, SCC 2048', 'mibench', 'esusan_small', 4367248, 4182980
'512, SCC 2048', 'mibench', 'esusan_small', 4268875, 4182980
'128, SCC 2048', 'mibench', 'fft_tiny', 7406964, 6583893
'256, SCC 2048', 'mibench', 'fft_tiny', 7134435, 6583893
'512, SCC 2048', 'mibench', 'fft_tiny', 6908941, 6583893
'128, SCC 2048', 'mibench', 'ifft_tiny', 7189575, 6387644
'256, SCC 2048', 'mibench', 'ifft_tiny', 6925169, 6387644
'512, SCC 2048', 'mibench', 'ifft_tiny', 6707278, 6387644
'128, SCC 2048', 'mibench', 'patricia', 216272729, 201902837
'256, SCC 2048', 'mibench', 'patricia', 214046367, 201902837
'512, SCC 2048', 'mibench', 'patricia', 209977091, 201902837
